topic,blog,pdf
Warm up,2024/WarmUpCombi,WarmUp
Coloring proofs,2024/ColoringProofs,ColoringProofs
Auxiliary configuration,2025/AuxConfig,AuxConfig
Induction,2025/Induction,Induction
Inclusion-exclusion principle,2025/IncluExclu,IncluExclu
Invariance principle,2025/Invariance,Invariance
Pigeonhole principle,2025/Pigeon,Pigeon
Extremal principle,2025/Extremal,Extremal
Arrange in order,2025/ArrangeInOrder,ArrangeInOrder
Grouping in pairs,2025/GrpPairs,GrpPairs
Counting,2025/Count,Count
Counting via bijections,2025/CountBijec,CountBijec
Counting the complement,2025/CountComple,CountComple
Counting in two different ways,2025/CountTwoDiff,CountTwoDiff
Generating functions,2025/GenFun,GenFun
